wave,Fe_37,Fe_38,Fe_36,Fe_35,Fe_43,Fe_42,Fe_41,Fe_49,Fe_48,Fe_IZw1,Fe_27,Fe_28
4114,0,0,0,0,0,0,0,0,0,0,0.001634487,4.82E-05
4115,0,0,0,0,0,0,0,0,0,0,0.002296369,8.61E-05
4116,0,0,0,0,0,0,0,0,0,0,0.003099774,0.000147692
4117,0,0,0,0,0,0,0,0,0,0,0.00402019,0.000243502
4118,0,0,0,0,0,0,0,0,0,0,0.005009465,0.000385726
4119,0,0,0,0,0,0,0,0,0,0,0.005997419,0.00058706
4120,0,0,0,0,0,0,0,0,0,0,0.006898674,0.000858449
4121,0,0,0,0,0,0,0,0,0,0,0.007624214,0.001206075
4122,0,0,0,0,0,0,0,0,0,0,0.008095669,0.001628031
4123,0,0,0,0,0,0,0,0,0,0,0.008259212,0.002111443
4124,0,0,0,0,0,0,0,0,0,0,0.008095669,0.00263102
4125,0,0,0,0,0,0,0,0,0,0,0.007624214,0.003149903
4126,0,0,0,0,0,0,0,0,0,0,0.006898674,0.00362325
4127,0,0,0,0,0,0,0,0,0,0,0.005997419,0.004004311
4128,0,0,0,0,0,0,0,0,0,0,0.005009465,0.004251924
4129,0,0,0,0,0,0,0,0,0,0,0.00402019,0.004337818
4130,0,0,0,0,0,0,0,0,0,0,0.003099774,0.004251924
4131,0,0,0,0,0,0,0,0,0,0,0.002296369,0.004004311
4132,0,0,0,0,0,0,0,0,0,0,0.001634487,0.00362325
4133,0,0,0,0,0,0,0,0,0,0,0.001117763,0.003149903
4134,0,0,0,0,0,0,0,0,0,0,0.000734422,0.00263102
4135,0,0,0,0,0,0,0,0,0,0,0.000463629,0.002111443
4136,0,0,0,0,0,0,0,0,0,0,0.000281205,0.001628031
4137,0,0,0,0,0,0,0,0,0,0,0.000163872,0.001206075
4138,0,0,0,0,0,0,0,0,0,0,9.18E-05,0.000858449
4139,0,0,0,0,0,0,0,0,0,0,4.94E-05,0.00058706
4140,0,0,0,0,0,0,0,0,0,0,2.55E-05,0.000385726
4141,0,0,0,0,0,0,0,0,0,0,1.27E-05,0.000243502
4142,0,0,0,0,0,0,0,0,0,0,6.04E-06,0.000147692
4143,0,0,0,0,0,0,0,0,0,0,2.77E-06,8.61E-05
4144,0,0,0,0,0,0,0,0,0,0,0,4.82E-05
4145,0,0,0,0,0,0,0,0,0,0,0,2.59E-05
4146,0,0,0,0,0,0,0,0,0,0,0,1.34E-05
4147,0,0,0,0,0,0,0,0,0,0,0,6.65E-06
4148,0,0,0,0,0,0,0,0,0,0,0,3.17E-06
4149,0,0,0,0,0,0,0,0,0,0,0,1.46E-06
4150,0,0,0,0,0,0,0,0,0,0,0,0
4151,0,0,0,0,0,0,0,0,0,0,0,0
4152,0,0,0,0,0,0,0,0,0,0,0,0
4153,0,0,0,0,0,0,0,0,0,0,0,3.87E-05
4154,0,0,0,0,0,0,0,0,0,0,0,8.43E-05
4155,0,0,0,0,0,0,0,0,0,0,0,0.000176756
4156,0,0,0,0,0,0,0,0,0,0,0,0.000355942
4157,0,0,0,0,0,0,0,0,0,0,0,0.000688674
4158,0,0,0,0,0,0,0,0,0,0,0,0.001280195
4159,0,0,0,0,0,0,0,0,0,0,2.01E-05,0.002286477
4160,0,0,0,0,0,0,0,0,0,0,4.38E-05,0.003923611
4161,0,0,0,0,0,0,0,0,0,0,9.18E-05,0.00646894
4162,0,0,0,0,0,0,0,0,0,0,0.000184777,0.01024728
4163,0,0,0,0,0,0,0,0,0,0,0.000357505,0.015595966
4164,0,0,0,0,0,0,0,0,0,0,0.000664576,0.022805741
4165,0,0,0,0,0,0,0,0,0,0,0.001186957,0.032040871
4166,0,0,0,0,0,0,0,0,0,0,0.002036827,0.043250652
4167,0,0,0,0,0,0,0,0,0,0,0.00335816,0.056093072
4168,0,0,0,0,0,0,0,0,0,0,0.005319574,0.069896272
4169,0,0,0,0,0,0,0,0,0,0,0.008096187,0.083681031
4170,0,0,0,0,0,0,0,0,0,0,0.01183893,0.096256097
4171,0,0,0,0,0,0,0,0,0,0,0.016633076,0.106379439
4172,0,0,0,0,0,0,0,0,0,0,0.022452304,0.112957576
4173,0,0,0,0,0,0,0,0,0,0,0.029119069,0.115239471
4174,0,0,0,0,0,0,0,0,0,0,0.036284594,0.112957576
4175,0,0,0,0,0,0,0,0,0,0,0.043440547,0.106379439
4176,0,0,0,0,0,0,0,0,0,0,0.049968523,0.096256097
4177,0,0,0,0,0,0,0,0,0,0,0.055223758,0.083681031
4178,0,0,0,0,0,0,0,0,0,0,0.058638604,0.069896272
4179,0,0,0,0,0,0,0,0,0,0,0.059823183,0.056093072
4180,0,0,0,0,0,0,0,0,0,0,0.058638604,0.043250652
4181,0,0,0,0,0,0,0,0,0,0,0.055223758,0.032040871
4182,0,0,0,0,0,0,0,0,0,0,0.049968523,0.022805741
4183,0,0,0,0,0,0,0,0,0,0,0.043440547,0.015595966
4184,0,0,0,0,0,0,0,0,0,0,0.036284594,0.01024728
4185,0,0,0,0,0,0,0,0,0,0,0.029119069,0.00646894
4186,0,0,0,0,0,0,0,0,0,0,0.022452304,0.003923611
4187,0,0,0,0,0,0,0,0,0,0,0.016633076,0.002286477
4188,0,0,0,0,0,0,0,0,0,0,0.01183893,0.001280195
4189,0,0,0,0,0,0,0,0,0,0,0.008096187,0.000688674
4190,0,0,0,0,0,0,0,0,0,0,0.005319574,0.000355942
4191,0,0,0,0,0,0,0,0,0,0,0.00335816,0.000176756
4192,0,0,0,0,0,0,0,0,0,0,0.002036827,8.43E-05
4193,0,0,0,0,0,0,0,0,0,0,0.001186957,3.87E-05
4194,0,0,0,0,0,0,0,0,0,0,0.000664576,0
4195,0,0,0,0,0,0,0,0,0,0,0.000357505,0
4196,0,0,0,0,0,0,0,0,0,0,0.000184777,0
4197,0,0,0,0,0,0,0,0,0,0,9.18E-05,0
4198,0,0,0,0,0,0,0,0,0,0,4.38E-05,0
4199,0,0,0,0,0,0,0,0,0,0,2.01E-05,0
4200,0,0,0,0,0,0,0,0,0,0,0,0
4201,0,0,0,0,0,0,0,0,0,0,0,0
4202,0,0,0,0,0,0,0,0,0,0,0,0
4203,0,0,0,0,0,0,0,0,0,0,0,0
4204,0,0,0,0,0,0,0,0,0,0,0,0
4205,0,0,0,0,0,0,0,0,0,0,0,0
4206,0,0,0,0,0,0,0,0,0,0,0,0
4207,0,0,0,0,0,0,0,0,0,0,0,0
4208,0,0,0,0,0,0,0,0,0,0,0,0
4209,0,0,0,0,0,0,0,0,0,0,0,0
4210,0,0,0,0,0,0,0,0,0,0,0,0
4211,0,0,0,0,0,0,0,0,0,0,0,0
4212,0,0,0,0,0,0,0,0,0,0,0,0
4213,0,0,0,0,0,0,0,0,0,0,0,8.69E-05
4214,0,0,0,0,0,0,0,0,0,0,0,0.000189584
4215,0,0,0,0,0,0,0,0,0,0,0,0.000397355
4216,0,0,0,0,0,0,0,0,0,0,0,0.000800175
4217,0,0,0,0,0,0,0,0,0,0,0,0.001548173
4218,0,0,0,0,0,0,0,0,0,0,0,0.002877942
4219,0,0,0,0,0,0,0,0,0,0,0,0.005140114
4220,0,0,0,0,0,0,0,0,0,0,0,0.008820471
4221,0,0,0,0,0,0,0,0,0,0,0,0.014542499
4222,0,0,0,0,0,0,0,0,0,0,0,0.023036394
4223,0,0,0,0,0,0,0,0,0,0,0,0.035060506
4224,0,0,0,0,0,0,0,0,0,0,0,0.051268438
4225,0,0,0,0,0,0,0,0,0,0,0,0.072029468
4226,0,0,0,0,0,0,0,0,0,0,0,0.097229612
4227,0,0,0,0,0,0,0,0,0,0,0,0.126100009
4228,0,0,0,0,0,0,0,0,0,0,0,0.157130287
4229,0,0,0,0,0,0,0,0,0,0,0,0.188119108
4230,0,0,0,0,0,0,0,0,0,0,0,0.216388481
4231,0,0,0,0,0,0,0,0,0,0,0,0.239146257
4232,0,0,0,0,0,0,0,0,0,0,0,0.253934235
4233,0,0,0,0,0,0,0,0,0,0,0,0.259064047
4234,0,0,0,0,0,0,0,0,0,0,0,0.253934235
4235,0,0,0,0,0,0,0,0,0,0,0,0.239146257
4236,0,0,0,0,0,0,0,0,0,0,0,0.216388481
4237,0,0,0,0,0,0,0,0,0,0,0,0.188119108
4238,0,0,0,0,0,0,0,0,0,0,1.61E-06,0.157130287
4239,0,0,0,0,0,0,0,0,0,0,3.52E-06,0.126100009
4240,0,0,0,0,0,0,0,0,0,0,7.37E-06,0.097229612
4241,0,0,0,0,0,0,0,0,0,0,1.48E-05,0.072029468
4242,0,0,0,0,0,0,0,0,0,0,2.87E-05,0.051268438
4243,0,0,0,0,0,0,0,0,0,0,5.34E-05,0.035060506
4244,0,0,0,0,0,0,0,0,0,0,9.53E-05,0.023036394
4245,0,0,0,0,0,0,0,0,0,0,0.000163551,0.014542499
4246,0,0,0,0,0,0,0,0,0,0,0.000269649,0.008820471
4247,0,0,0,0,0,0,0,0,0,0,0.000427144,0.005140114
4248,0,0,0,0,0,0,0,0,0,0,0.000650097,0.002877942
4249,0,0,0,0,0,0,0,0,0,0,0.000950627,0.001548173
4250,0,0,0,0,0,0,0,0,0,0,0.001335581,0.000800175
4251,0,0,0,0,0,0,0,0,0,0,0.001802846,0.000397355
4252,0,0,0,0,0,0,0,0,0,0,0.002338166,0.000189584
4253,0,0,0,0,0,0,0,0,0,0,0.002913534,8.93E-05
4254,0,0,0,0,0,0,0,0,0,0,0.003488133,5.33E-06
4255,0,0,0,0,0,0,0,0,0,0,0.004012308,1.12E-05
4256,0,0,0,0,0,0,0,0,0,0,0.004434287,2.25E-05
4257,0,0,0,0,0,0,0,0,0,0,0.004708488,4.35E-05
4258,0,0,0,0,0,0,0,0,0,0,0.004803605,8.09E-05
4259,0,0,0,0,0,0,0,0,0,0,0.004708488,0.000144463
4260,0,0,0,0,0,0,0,0,0,0,0.004434287,0.0002479
4261,0,0,0,0,0,0,0,0,0,0,0.004012308,0.000408717
4262,0,0,0,0,0,0,0,0,0,0,0.003488133,0.000647439
4263,0,0,0,0,0,0,0,0,0,0,0.002913534,0.000985377
4264,0,0,0,0,0,0,0,0,0,0,0.002338166,0.001440901
4265,0,0,0,0,0,0,0,0,0,0,0.001802846,0.00202439
4266,0,0,0,0,0,0,0,0,0,0,0.001335581,0.002732641
4267,0,0,0,0,0,0,0,0,0,0,0.000950627,0.003544045
4268,0,0,0,0,0,0,0,0,0,0,0.000650097,0.004416152
4269,0,0,0,0,0,0,0,0,0,0,0.000427144,0.005287093
4270,0,0,0,0,0,0,0,0,0,0,0.000269649,0.006081605
4271,0,0,0,0,0,0,0,0,0,0,0.000163551,0.006721213
4272,0,0,0,0,0,0,0,0,0,0,9.53E-05,0.00713683
4273,0,0,0,0,0,0,0,0,0,0,5.34E-05,0.007281003
4274,0,0,0,0,0,0,0,0,0,0,2.87E-05,0.00713683
4275,0,0,0,0,0,0,0,0,0,0,1.48E-05,0.006721213
4276,0,0,0,0,0,0,0,0,0,0,7.37E-06,0.006081605
4277,0,0,0,0,0,0,0,0,0,0,9.25E-06,0.005287093
4278,0,0,0,0,0,0,0,0,0,0,1.41E-05,0.004416152
4279,0,0,0,0,0,0,0,0,0,0,2.62E-05,0.003544045
4280,0,0,0,0,0,0,0,0,0,0,5.28E-05,0.002732641
4281,0,0,0,0,0,0,0,0,0,0,0.000102216,0.00202439
4282,0,0,0,0,0,0,0,0,0,0,0.000190012,0.001440901
4283,0,0,0,0,0,0,0,0,0,0,0.00033937,0.000997372
4284,0,0,0,0,0,0,0,0,0,0,0.000582361,0.000673606
4285,0,0,0,0,0,0,0,0,0,0,0.00096015,0.000463562
4286,0,0,0,0,0,0,0,0,0,0,0.001520949,0.000358342
4287,0,0,0,0,0,0,0,0,0,0,0.002314826,0.000358147
4288,0,0,0,0,0,0,0,0,0,0,0.003384934,0.000478107
4289,0,0,0,0,0,0,0,0,0,0,0.004755655,0.000752967
4290,0,0,0,0,0,0,0,0,0,0,0.006419463,0.001239919
4291,0,0,0,0,0,0,0,0,0,0,0.008325595,0.00201837
4292,0,0,0,0,0,0,0,0,0,0,0.01037433,0.003184885
4293,0,0,0,0,0,0,0,0,0,0,0.012420328,0.004841606
4294,0,0,0,0,0,0,0,0,0,0,0.014286778,0.007076234
4295,0,0,0,0,0,0,0,0,0,0,0.015789331,0.009941738
4296,0,0,0,0,0,0,0,0,0,0,0.016765689,0.013419943
4297,0,0,0,0,0,0,0,0,0,0,0.017104378,0.017404728
4298,0,0,0,0,0,0,0,0,0,0,0.016765689,0.021687626
4299,0,0,0,0,0,0,0,0,0,0,0.015789331,0.025964803
4300,0,0,0,0,0,0,0,0,0,0,0.014286778,0.029866632
4301,0,0,0,0,0,0,0,0,0,0,0.012420328,0.033007734
4302,0,0,0,0,0,0,0,0,0,0,0.01037433,0.035048818
4303,0,0,0,0,0,0,0,0,0,0,0.008325595,0.035756851
4304,0,0,0,0,0,0,0,0,0,0,0.006419463,0.035048818
4305,0,0,0,0,0,0,0,0,0,0,0.004755655,0.033007734
4306,0,0,0,0,0,0,0,0,0,0,0.003384934,0.029866632
4307,0,0,0,0,0,0,0,0,0,0,0.002314826,0.025964803
4308,0,0,0,0,0,0,0,0,0,0,0.001520949,0.021687626
4309,0,0,0,0,0,0,0,0,0,0,0.00096015,0.017404728
4310,0,0,0,0,0,0,0,0,0,0,0.000582361,0.013419943
4311,0,0,0,0,0,0,0,0,0,0,0.00033937,0.009941738
4312,0,0,0,0,0,0,0,0,0,0,0.000190012,0.007076234
4313,0,0,0,0,0,0,0,0,0,0,0.000102216,0.004839164
4314,0,0,0,0,0,0,0,0,0,0,5.28E-05,0.003179557
4315,0,0,0,0,0,0,0,0,0,0,2.62E-05,0.002007202
4316,0,0,0,0,0,0,0,0,0,0,1.25E-05,0.00121743
4317,0,0,0,0,0,0,0,0,0,0,5.74E-06,0.000709455
4318,0,0,0,0,0,0,0,0,0,0,0,0.000397223
4319,0,0,0,0,0,0,0,0,0,0,0,0.000213684
4320,0,0,0,0,0,0,0,0,0,0,0,0.000110443
4321,0,0,0,0,0,0,0,0,0,0,0,5.48E-05
4322,0,0,0,0,0,0,0,0,0,0,0,2.62E-05
4323,0,0,0,0,0,0,0,0,0,0,0,1.20E-05
4324,0,0,0,0,0,0,0,0,0,0,0,0
4325,0,0,0,0,0,0,0,0,0,0,0,0
4326,0,0,0,0,0,0,0,0,0,0,0,0
4327,0,0,0,0,0,0,0,0,0,0,0,0
4328,0,0,0,0,0,0,0,0,0,0,0,0
4329,0,0,0,0,0,0,0,0,0,0,0,0
4330,0,0,0,0,0,0,0,0,0,0,0,0
4331,0,0,0,0,0,0,0,0,0,0,0,0
4332,0,0,0,0,0,0,0,0,0,0,0,4.06E-05
4333,0,0,0,0,0,0,0,0,0,0,0,8.86E-05
4334,0,0,0,0,0,0,0,0,0,0,0,0.000185723
4335,0,0,0,0,0,0,0,0,0,0,0,0.000373999
4336,0,0,0,0,0,0,0,0,0,0,0,0.000723611
4337,0,0,0,0,0,0,0,0,0,0,0,0.001345141
4338,0,0,0,0,0,0,0,0,0,0,0,0.002402473
4339,0,0,0,0,0,0,0,0,0,0,0,0.00412266
4340,0,0,0,0,0,0,0,0,0,0,0,0.006797118
4341,0,0,0,0,0,0,0,0,0,0,0,0.010767138
4342,0,0,0,0,0,0,0,0,0,0,0,0.01638717
4343,0,0,0,0,0,0,0,0,0,0,0,0.023962706
4344,0,0,0,0,0,0,0,0,0,0,0,0.033666346
4345,0,0,0,0,0,0,0,0,0,0,0,0.045444813
4346,0,0,0,0,0,0,0,0,0,0,0,0.058938746
4347,0,0,0,0,0,0,0,0,0,0,0,0.0734422
4348,0,0,0,0,0,0,0,0,0,0,0,0.087926277
4349,0,0,0,0,0,0,0,0,0,0,1.18E-06,0.101139292
4350,0,0,0,0,0,0,0,0,0,0,2.58E-06,0.111776205
4351,0,0,0,0,0,0,0,0,0,0,5.42E-06,0.118688059
4352,0,0,0,0,0,0,0,0,0,0,1.09E-05,0.121085717
4353,0,0,0,0,0,0,0,0,0,0,2.11E-05,0.118688059
4354,0,0,0,0,0,0,0,0,0,0,3.92E-05,0.111776205
4355,0,0,0,0,0,0,0,0,0,0,7.01E-05,0.101139292
4356,0,0,0,0,0,0,0,0,0,0,0.00012024,0.087926277
4357,0,0,0,0,0,0,0,0,0,0,0.000198241,0.0734422
4358,0,0,0,0,0,0,0,0,0,0,0.000314029,0.058938746
4359,0,0,0,0,0,0,0,0,0,0,0.00047794,0.045444813
4360,0,0,0,0,0,0,0,0,0,0,0.000698885,0.033666346
4361,0,0,0,0,0,0,0,0,0,0,0.000981896,0.023962706
4362,0,0,0,0,0,0,0,0,0,0,0.001325422,0.01638717
4363,0,0,0,0,0,0,0,0,0,0,0.001718979,0.010767138
4364,0,0,0,0,0,0,0,0,0,0,0.00214198,0.006797118
4365,0,0,0,0,0,0,0,0,0,0,0.002564415,0.004134521
4366,0,0,0,0,0,0,0,0,0,0,0.00294978,0.002428347
4367,0,0,0,0,0,0,0,0,0,0,0.003260011,0.001399371
4368,0,0,0,0,0,0,0,0,0,0,0.003461599,0.000832816
4369,0,0,0,0,0,0,0,0,0,0,0.003531528,0.000585289
4370,0,0,0,0,0,0,0,0,0,0,0.003461599,0.000578494
4371,0,0,0,0,0,0,0,0,0,0,0.003260011,0.000790116
4372,0,0,0,0,0,0,0,0,0,0,0.00294978,0.001244408
4373,0,0,0,0,0,0,0,0,0,0,0.002564415,0.001984712
4374,0,0,0,0,0,0,0,0,0,0,0.00214198,0.00314393
4375,0,0,0,0,0,0,0,0,0,0,0.001718979,0.004784941
4376,0,0,0,0,0,0,0,0,0,0,0.001325422,0.006996945
4377,0,0,0,0,0,0,0,0,0,0,0.000981896,0.009830342
4378,0,0,0,0,0,0,0,0,0,0,0.000698885,0.013269573
4379,0,0,0,0,0,0,0,0,0,0,0.00047794,0.017209709
4380,0,0,0,0,0,0,0,0,0,0,0.000314029,0.021444618
4381,0,0,0,0,0,0,0,0,0,0,0.000198241,0.025673868
4382,0,0,0,0,0,0,0,0,0,0,0.00012024,0.029531978
4383,0,0,0,0,0,0,0,0,0,0,7.01E-05,0.032637883
4384,0,0,0,0,0,0,0,0,0,0,3.92E-05,0.034656097
4385,0,0,0,0,0,0,0,0,0,0,2.11E-05,0.035356197
4386,0,0,0,0,0,0,0,0,0,0,1.09E-05,0.034656097
4387,0,0,0,0,0,0,0,0,0,0,5.42E-06,0.032637883
4388,0,0,0,0,0,0,0,0,0,0,2.58E-06,0.029531978
4389,0,0,0,0,0,0,0,0,0,0,1.18E-06,0.025673868
4390,0,0,0,0,0,0,0,0,0,0,0,0.021444618
4391,0,0,0,0,0,0,0,0,0,0,0,0.017209709
4392,0,0,0,0,0,0,0,0,0,0,0,0.013269573
4393,0,0,0,0,0,0,0,0,0,0,0,0.009830342
4394,0,0,0,0,0,0,0,0,0,0,0,0.006996945
4395,0,0,0,0,0,0,0,0,0,0,0,0.004784941
4396,0,0,0,0,0,0,0,0,0,0,0,0.00314393
4397,0,0,0,0,0,0,0,0,0,0,0,0.001996063
4398,0,0,0,0,0,0,0,0,0,0,0,0.001228551
4399,0,0,0,0,0,0,0,0,0,6.08E-05,0,0.000753406
4400,0,0,0,0,0,0,0,0,0,0.000132551,0,0.000497285
4401,0,0,0,0,0,0,0,0,0,0.000277818,0,0.000413501
4402,0,0,0,0,0,0,0,0,0,0.000559457,0,0.000485102
4403,0,0,0,0,0,0,0,0,0,0.001082433,0,0.000725597
4404,0,0,0,0,0,0,0,0,0,0.002012165,0,0.001177944
4405,0,0,0,0,0,0,0,0,0,0.003593804,0,0.001911303
4406,0,0,0,0,0,0,0,0,0,0.006166992,0,0.003008858
4407,0,0,0,0,0,0,0,0,0,0.010167651,0,0.004579366
4408,0,0,0,0,0,0,0,0,0,0.016106311,0,0.006696336
4409,0,0,0,0,0,0,0,0,0,0.024513186,0,0.009408001
4410,0,0,0,0,0,0,0,0,0,0.035845254,0,0.012699473
4411,0,0,0,0,0,0,0,0,0,0.050360703,0,0.016470329
4412,0,0,0,0,0,0,0,0,0,0.067979838,0,0.020523294
4413,0,0,0,0,0,0,0,0,0,0.088165097,0,0.024570844
4414,0,0,0,0,0,0,0,0,0,0.109860476,0,0.028263198
4415,0,0,0,0,0,0,0,0,0,0.13152687,0,0.031235664
4416,0,0,0,0,0,0,0,0,0,0.151291912,0,0.03316717
4417,0,0,0,0,0,0,0,0,0,0.167203421,0,0.033837191
4418,0,0,0,0,0,0,0,0,0,0.177542704,0,0.03316717
4419,0,0,0,0,0,0,0,0,0,0.181129304,0,0.031235664
4420,0,0,0,0,0,0,0,0,0,0.177542704,0,0.028263198
4421,0,0,0,0,0,0,0,0,0,0.167203421,0,0.024570844
4422,0,0,0,0,0,0,0,0,0,0.151291912,0,0.020523294
4423,0,0,0,0,0,0,0,0,0,0.13152687,0,0.016470329
4424,0,0,0,0,0,0,0,0,0,0.109860476,0,0.012699473
4425,0,0,0,0,0,0,0,0,0,0.088165097,0,0.009408001
